title,source,date,link
2023-1학기 파견 교환학생 설명회 안내,국제교류팀,2022.05.27,https://portal.korea.ac.kr/front/Intro.kpd
APRU VSE Co-curricular Programs,국제교류팀,2022.05.27,https://portal.korea.ac.kr/front/Intro.kpd
APRU VSE 온라인 여름단기과정 안내(수업료 면제),국제교류팀,2022.05.27,https://portal.korea.ac.kr/front/Intro.kpd
2022 해외 Summer Program 참가자 학점인정 안내,국제교류팀,2022.05.27,https://portal.korea.ac.kr/front/Intro.kpd
[이탈리아] 베니스국제대학 온라인 특강 (The Long Road to the War in Ukraine),국제교류팀,2022.05.27,https://portal.korea.ac.kr/front/Intro.kpd
Earth Day 2022 콘테스트,국제교류팀,2022.05.27,https://portal.korea.ac.kr/front/Intro.kpd
2022 Yale Summer Session 지원 안내,국제교류팀,2022.05.27,https://portal.korea.ac.kr/front/Intro.kpd
2022 UC Berkeley Summer Session 지원 안내,국제교류팀,2022.05.27,https://portal.korea.ac.kr/front/Intro.kpd
2022-2학기 국제처 파견 교환학생을 위한 'KU PRIDE CLUB 글로벌희망장학금 선발,국제교류팀,2022.05.27,https://portal.korea.ac.kr/front/Intro.kpd
2022-1학기 외국대학 온라인 학점교류 참가 안내,국제교류팀,2022.05.27,https://portal.korea.ac.kr/front/Intro.kpd
